"year" "catch" "index"
"1" 1965 93.51 1.78
"2" 1966 212.44 1.31
"3" 1967 195.03 0.91
"4" 1968 382.71 0.96
"5" 1969 320.43 0.88
"6" 1970 402.47 0.9
"7" 1971 365.56 0.87
"8" 1972 606.08 0.72
"9" 1973 377.64 0.57
"10" 1974 318.84 0.45
"11" 1975 309.37 0.42
"12" 1976 389.02 0.42
"13" 1977 276.9 0.49
"14" 1978 254.25 0.43
"15" 1979 170.01 0.4
"16" 1980 97.18 0.45
"17" 1981 90.52 0.55
"18" 1982 176.53 0.53
"19" 1983 216.18 0.58
"20" 1984 228.67 0.64
"21" 1985 212.18 0.66
"22" 1986 231.18 0.65
"23" 1987 136.94 0.61
"24" 1988 212 0.63
