"year" "catch" "index"
"1" 1945 809 3.49
"2" 1946 854 3.38
"3" 1947 919 3.18
"4" 1948 1360 3.56
"5" 1949 1872 1.79
"6" 1950 2672 4.35
"7" 1951 2834 2.33
"8" 1952 3324 2.57
"9" 1953 4160 2.88
"10" 1954 5541 3.85
"11" 1955 5909 4.16
"12" 1956 6547 4.34
"13" 1957 5049 3.7
"14" 1958 4447 2.37
"15" 1959 4018 2.46
"16" 1960 3762 2.06
"17" 1961 4042 2.21
"18" 1962 4583 2.19
"19" 1963 4554 2.44
"20" 1964 4597 2.14
"21" 1965 4984 2.18
"22" 1966 5295 2.13
"23" 1967 4782 1.86
"24" 1968 4975 1.53
"25" 1969 4786 1.32
"26" 1970 4699 1.45
"27" 1971 4478 1.4
"28" 1972 3495 1.09
"29" 1973 3784 1.23
"30" 1974 3643 1.12
"31" 1975 2987 0.92
"32" 1976 3311 1.02
"33" 1977 3237 1
"34" 1978 3418 1.05
"35" 1979 4050 1.09
"36" 1980 4190 1.03
"37" 1981 4058 1.01
"38" 1982 4331 0.98
"39" 1983 4385 0.88
"40" 1984 4911 0.85
"41" 1985 4856 0.84
"42" 1986 4657 0.81
"43" 1987 4500 0.84
"44" 1988 3128 0.86
"45" 1989 3318 0.62
"46" 1990 2770 0.54
