                ****************************************
                                VPA-2BOX                
                BOOTSTRAP ESTIMATES OF BIAS AND VARIANCE
                ****************************************


BFT East 55-06 test                               
12:14, 16 September 2010


 *************************************************
 BIAS AND STANDARD ERROR ESTIMATES
 *************************************************


TABLE 1A. BIAS OF FISHING MORTALITY RATE FOR EAST OF 45                                        
=============================================================================
        1      2      3      4      5      6      7      8      9     10
-----------------------------------------------------------------------------
  1950   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1951   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1952   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1953   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1954   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1955   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1956   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1957   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1958   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1959   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1960   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1961   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1962   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1963   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1964   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1965   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1966   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1967   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1968   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1969   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1970   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1971   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1972   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1973   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1974   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1975   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1976   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1977   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1978   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1979   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1980   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1981   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1982   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1983   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1984   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1985   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1986   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1987   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1988   0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1989   0.000  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1990   0.000  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1991   0.000  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1992   0.000  0.001  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1993   0.000  0.002  0.001  0.000  0.000  0.000  0.000  0.000  0.000  0.000
  1994   0.000  0.001  0.001  0.000  0.000  0.000  0.001  0.001  0.001  0.001
  1995   0.000  0.001  0.001  0.001  0.001  0.001  0.000  0.001  0.001  0.001
  1996   0.001  0.001  0.002  0.001  0.001  0.000  0.001  0.000  0.001  0.001
  1997   0.000  0.001  0.001  0.001  0.001  0.001  0.000  0.001  0.001  0.001
  1998   0.002  0.003  0.003  0.002  0.001  0.003  0.000  0.000  0.001  0.001
  1999   0.003  0.004  0.004  0.003  0.001  0.001  0.001  0.001  0.001  0.002
  2000   0.009  0.010  0.006  0.003  0.003  0.002  0.001  0.001  0.001  0.001
  2001   0.000  0.015  0.006  0.005  0.003  0.002  0.003  0.002  0.002  0.002
  2002   0.000  0.024  0.021  0.006  0.003  0.003  0.001  0.002  0.002  0.003
  2003   0.000 -0.001  0.009  0.009  0.008  0.003  0.006  0.003  0.004  0.005
  2004  -0.005  0.002 -0.001  0.007  0.004  0.006  0.005  0.004  0.007  0.008
  2005  -0.009 -0.029  0.003  0.000  0.008  0.009  0.006  0.003  0.013  0.016
  2006  -0.026 -0.012 -0.051  0.003  0.000  0.016  0.007  0.006  0.019  0.023
  2007   0.000 -0.042 -0.009 -0.072  0.005  0.002  0.027  0.026  0.041  0.049
  2008   0.000 -0.004 -0.018 -0.006 -0.031  0.004  0.002  0.020  0.022  0.027
  2009   0.001  0.004  0.000 -0.036  0.000 -0.029  0.011  0.005  0.018  0.022
=============================================================================


TABLE 1B. STANDARD ERROR OF FISHING MORTALITY RATE FOR EAST OF 45                                        
====================================================================================================================     
            1          2          3          4          5          6          7          8          9         10
--------------------------------------------------------------------------------------------------------------------     
  1950  0.516E-04  0.812E-04  0.125E-05  0.316E-05  0.124E-04  0.205E-04  0.235E-04  0.279E-04  0.641E-04  0.448E-04
  1951  0.101E-04  0.165E-04  0.120E-04  0.104E-04  0.239E-04  0.327E-04  0.345E-04  0.278E-04  0.666E-04  0.466E-04
  1952  0.130E-05  0.330E-05  0.577E-05  0.614E-05  0.233E-04  0.433E-04  0.549E-04  0.595E-04  0.783E-04  0.548E-04
  1953  0.509E-05  0.951E-05  0.795E-05  0.960E-05  0.422E-04  0.420E-04  0.742E-04  0.839E-04  0.756E-04  0.529E-04
  1954  0.508E-05  0.922E-05  0.147E-05  0.392E-05  0.403E-04  0.599E-04  0.433E-04  0.460E-04  0.111E-03  0.780E-04
  1955  0.682E-05  0.377E-04  0.718E-04  0.329E-04  0.355E-04  0.498E-04  0.772E-04  0.595E-04  0.133E-03  0.929E-04
  1956  0.336E-05  0.287E-04  0.416E-04  0.221E-04  0.252E-04  0.364E-04  0.482E-04  0.865E-04  0.953E-04  0.667E-04
  1957  0.374E-05  0.402E-04  0.764E-04  0.357E-04  0.298E-04  0.693E-04  0.114E-03  0.928E-04  0.117E-03  0.819E-04
