#	MULTIFAN-CL	Viewer																
#	Fishing	mortality	by	age	class	(across)	and	year	(down)									
	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15			
1930	3.38E-02	1.57E-01	2.59E-02	6.04E-03	1.76E-02	2.73E-02	3.13E-02	3.24E-02	3.24E-02	3.24E-02	3.24E-02	3.24E-02	3.24E-02	3.24E-02	3.24E-02	5.58E-01	3.72E-02	3.24E-02
1931	4.66E-02	2.16E-01	3.57E-02	8.32E-03	2.43E-02	3.77E-02	4.31E-02	4.46E-02	4.47E-02	4.47E-02	4.47E-02	4.47E-02	4.47E-02	4.47E-02	4.47E-02	7.69E-01		
1932	4.18E-02	1.94E-01	3.21E-02	7.48E-03	2.18E-02	3.38E-02	3.87E-02	4.01E-02	4.02E-02	4.02E-02	4.02E-02	4.02E-02	4.02E-02	4.02E-02	4.02E-02	6.92E-01		
1933	4.16E-02	1.93E-01	3.18E-02	7.43E-03	2.16E-02	3.36E-02	3.85E-02	3.98E-02	3.99E-02	3.99E-02	3.99E-02	3.99E-02	3.99E-02	3.99E-02	3.99E-02	6.87E-01		
1934	5.91E-02	2.75E-01	4.53E-02	1.06E-02	3.08E-02	4.78E-02	5.47E-02	5.66E-02	5.67E-02	5.67E-02	5.67E-02	5.67E-02	5.67E-02	5.67E-02	5.67E-02	9.76E-01		
1935	6.12E-02	2.84E-01	4.69E-02	1.09E-02	3.19E-02	4.95E-02	5.67E-02	5.87E-02	5.87E-02	5.87E-02	5.87E-02	5.87E-02	5.87E-02	5.87E-02	5.87E-02	1.01E+00		
1936	4.89E-02	2.27E-01	3.75E-02	8.74E-03	2.55E-02	3.96E-02	4.53E-02	4.69E-02	4.70E-02	4.70E-02	4.70E-02	4.70E-02	4.70E-02	4.70E-02	4.70E-02	8.08E-01		
1937	3.79E-02	1.76E-01	2.91E-02	6.78E-03	1.98E-02	3.07E-02	3.51E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	3.64E-02	6.27E-01		
1938	4.05E-02	1.88E-01	3.11E-02	7.25E-03	2.11E-02	3.28E-02	3.75E-02	3.89E-02	3.89E-02	3.89E-02	3.89E-02	3.89E-02	3.89E-02	3.89E-02	3.89E-02	6.70E-01		
1939	5.18E-02	2.41E-01	3.97E-02	9.27E-03	2.70E-02	4.19E-02	4.80E-02	4.97E-02	4.98E-02	4.98E-02	4.98E-02	4.98E-02	4.98E-02	4.98E-02	4.98E-02	8.57E-01		
1940	3.84E-02	1.78E-01	2.94E-02	6.86E-03	2.00E-02	3.10E-02	3.55E-02	3.68E-02	3.68E-02	3.68E-02	3.68E-02	3.68E-02	3.68E-02	3.68E-02	3.68E-02	6.34E-01		
1941	3.45E-02	1.61E-01	2.65E-02	6.17E-03	1.80E-02	2.79E-02	3.20E-02	3.31E-02	3.32E-02	3.32E-02	3.32E-02	3.32E-02	3.32E-02	3.32E-02	3.32E-02	5.71E-01		
1942	3.83E-02	1.78E-01	2.93E-02	6.84E-03	1.99E-02	3.09E-02	3.54E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	3.67E-02	6.32E-01		
1943	4.71E-02	2.19E-01	3.61E-02	8.42E-03	2.45E-02	3.81E-02	4.36E-02	4.51E-02	4.52E-02	4.52E-02	4.52E-02	4.52E-02	4.52E-02	4.52E-02	4.52E-02	7.78E-01		
1944	4.83E-02	2.24E-01	3.70E-02	8.63E-03	2.52E-02	3.91E-02	4.47E-02	4.63E-02	4.64E-02	4.64E-02	4.64E-02	4.64E-02	4.64E-02	4.64E-02	4.64E-02	7.98E-01		
1945	7.14E-02	3.32E-01	5.47E-02	1.28E-02	3.72E-02	5.77E-02	6.61E-02	6.85E-02	6.85E-02	6.85E-02	6.85E-02	6.85E-02	6.85E-02	6.85E-02	6.85E-02	1.18E+00		
1946	7.44E-02	3.46E-01	5.70E-02	1.33E-02	3.88E-02	6.02E-02	6.89E-02	7.13E-02	7.14E-02	7.14E-02	7.14E-02	7.14E-02	7.14E-02	7.14E-02	7.14E-02	1.23E+00		
1947	7.47E-02	3.47E-01	5.73E-02	1.34E-02	3.89E-02	6.04E-02	6.92E-02	7.16E-02	7.17E-02	7.17E-02	7.17E-02	7.17E-02	7.17E-02	7.17E-02	7.17E-02	1.23E+00		
1948	7.32E-02	3.40E-01	5.61E-02	1.31E-02	3.81E-02	5.92E-02	6.78E-02	7.02E-02	7.02E-02	7.02E-02	7.02E-02	7.02E-02	7.02E-02	7.02E-02	7.02E-02	1.21E+00		
1949	1.08E-01	5.00E-01	8.25E-02	1.93E-02	5.61E-02	8.71E-02	9.97E-02	1.03E-01	1.03E-01	1.03E-01	1.03E-01	1.03E-01	1.03E-01	1.03E-01	1.03E-01	1.78E+00		
1950	1.66E-01	7.73E-01	1.27E-01	2.97E-02	8.67E-02	1.35E-01	1.54E-01	1.59E-01	1.60E-01	1.60E-01	1.60E-01	1.60E-01	1.60E-01	1.60E-01	1.60E-01	2.75E+00		
1951	1.49E-01	6.93E-01	1.14E-01	2.67E-02	7.77E-02	1.21E-01	1.38E-01	1.43E-01	1.43E-01	1.43E-01	1.43E-01	1.43E-01	1.43E-01	1.43E-01	1.43E-01	2.46E+00		
1952	1.71E-01	7.94E-01	1.31E-01	3.06E-02	8.90E-02	1.38E-01	1.58E-01	1.64E-01	1.64E-01	1.64E-01	1.64E-01	1.64E-01	1.64E-01	1.64E-01	1.64E-01	2.82E+00		
1953	1.68E-01	7.47E-01	1.76E-01	4.45E-02	9.51E-02	1.47E-01	1.68E-01	1.74E-01	1.75E-01	1.75E-01	1.75E-01	1.75E-01	1.75E-01	1.75E-01	1.75E-01	2.94E+00		
1954	1.54E-01	6.66E-01	1.89E-01	4.91E-02	9.17E-02	1.41E-01	1.62E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	1.68E-01	2.79E+00		
1955	5.25E-02	2.31E-01	5.85E-02	1.50E-02	3.03E-02	4.67E-02	5.35E-02	5.54E-02	5.55E-02	5.55E-02	5.55E-02	5.55E-02	5.55E-02	5.55E-02	5.55E-02	9.31E-01		
