 Simul. Age-Len - cut 25.7 - mesh 50 - NO qtrend                       
 1, 20
 Year, CatRec, CatFull , Urec, Ufull, Wrec, Wfull, Srat , M
  1,     64.4,   3991.7,   4.462,  42.743,  0.093,  1.957, 1.0, 0.2
  2,     86.4,   4144.5,   5.182,  38.051,  0.092,  2.025, 1.0, 0.2
  3,     43.2,   4165.5,   2.418,  35.213,  0.096,  1.970, 1.0, 0.2
  4,    103.8,   4088.1,   4.623,  28.735,  0.091,  2.113, 1.0, 0.2
  5,    122.5,   3979.1,   4.872,  26.783,  0.093,  1.934, 1.0, 0.2
  6,    139.1,   3842.9,   4.822,  25.695,  0.093,  1.711, 1.0, 0.2
  7,    131.9,   3514.8,   4.579,  24.852,  0.093,  1.517, 1.0, 0.2
  8,    174.8,   3376.7,   5.980,  24.102,  0.092,  1.406, 1.0, 0.2
  9,    115.6,   3369.8,   4.106,  25.729,  0.094,  1.253, 1.0, 0.2
 10,    193.3,   3349.2,   6.562,  24.211,  0.092,  1.263, 1.0, 0.2
 11,    182.3,   3466.6,   6.333,  26.752,  0.093,  1.158, 1.0, 0.2
 12,     73.4,   3564.6,   2.729,  28.384,  0.096,  1.124, 1.0, 0.2
 13,     89.9,   3161.1,   3.599,  24.189,  0.092,  1.309, 1.0, 0.2
 14,    184.6,   2690.0,   8.563,  22.460,  0.091,  1.405, 1.0, 0.2
 15,    131.1,   2305.5,   7.456,  29.020,  0.093,  1.162, 1.0, 0.2
 16,     87.8,   2187.3,   5.896,  33.077,  0.094,  1.134, 1.0, 0.2
 17,     80.7,   2223.9,   6.253,  34.148,  0.093,  1.241, 1.0, 0.2
 18,     88.1,   2141.1,   7.945,  35.560,  0.092,  1.335, 1.0, 0.2
 19,     57.9,   1967.0,   6.358,  39.363,  0.094,  1.347, 1.0, 0.2
 20,     57.6,   1823.5,   7.194,  40.221,  0.092,  1.455, 1.0, 0.2
 0.2 !! M - temporary, remove later


  TRUE states
 Year , Btot , RecN , FullN , SSB ,  F* , C/N , qr , qf , S 
  1,  84427.4,   8544.1,  43158.9,  52080.6, 0.102, 0.078, 0.508E-03, 0.996E-03, 0.510
  2,  77968.7,   9973.5,  38471.4,  49685.1, 0.113, 0.087, 0.507E-03, 0.995E-03, 0.510
  3,  69824.4,   4340.0,  35722.6,  45338.1, 0.129, 0.105, 0.521E-03, 0.994E-03, 0.524
  4,  61494.8,   9072.5,  28943.9,  39915.8, 0.143, 0.110, 0.504E-03, 0.997E-03, 0.505
  5,  52641.9,   9325.1,  27225.2,  33291.9, 0.145, 0.112, 0.508E-03, 0.993E-03, 0.512
  6,  44799.0,   9212.2,  26155.8,  27353.6, 0.145, 0.113, 0.509E-03, 0.993E-03, 0.513
  7,  38496.9,   8731.1,  25307.8,  20935.4, 0.138, 0.107, 0.509E-03, 0.992E-03, 0.513
  8,  34923.5,  11572.9,  24525.2,  16843.5, 0.129, 0.098, 0.506E-03, 0.992E-03, 0.510
  9,  32970.4,   7655.3,  26307.3,  14278.8, 0.132, 0.103, 0.513E-03, 0.991E-03, 0.518
 10,  31693.1,  12800.4,  24578.6,  12312.1, 0.125, 0.095, 0.505E-03, 0.993E-03, 0.508
 11,  32087.6,  12071.6,  27378.8,  11671.4, 0.120, 0.092, 0.509E-03, 0.990E-03, 0.514
 12,  32419.5,   4859.5,  29000.0,  11824.7, 0.132, 0.107, 0.522E-03, 0.991E-03, 0.527
 13,  32294.9,   6985.4,  24431.7,  11616.4, 0.129, 0.103, 0.506E-03, 0.995E-03, 0.508
 14,  32998.4,  16859.8,  22774.5,  12637.5, 0.100, 0.073, 0.503E-03, 0.994E-03, 0.506
 15,  35045.9,  14115.6,  29850.1,  14492.5, 0.076, 0.055, 0.510E-03, 0.988E-03, 0.516
 16,  38571.7,  11119.2,  33789.0,  15481.4, 0.067, 0.051, 0.511E-03, 0.991E-03, 0.516
 17,  43477.4,  11994.5,  34702.3,  16729.4, 0.065, 0.049, 0.508E-03, 0.993E-03, 0.511
 18,  48839.6,  15350.9,  36146.7,  19813.8, 0.061, 0.043, 0.507E-03, 0.993E-03, 0.510
 19,  54168.3,  11980.8,  40133.8,  23513.3, 0.053, 0.039, 0.511E-03, 0.992E-03, 0.515
 20,  59779.6,  13839.8,  40817.7,  27788.1, 0.000, 0.034, 0.507E-03, 0.994E-03, 0.511


  Estimates of s based on mean-L
 for mesh =  50.0 , SF = 0.40 , Delta =  6.0
 and cut-off = 25.71
 Year , Lrec , Lfull , SelRec , SelFull , s
  1, 20.82, 53.52, 0.574, 1.000, 0.574,
  2, 20.80, 54.10, 0.573, 1.000, 0.573,
  3, 21.04, 53.09, 0.594, 1.000, 0.594,
  4, 20.73, 54.90, 0.567, 1.000, 0.567,
  5, 20.82, 52.39, 0.574, 1.000, 0.574,
  6, 20.83, 49.78, 0.575, 1.000, 0.575,
  7, 20.83, 47.94, 0.576, 1.000, 0.576,
  8, 20.78, 47.12, 0.571, 1.000, 0.571,
  9, 20.91, 45.35, 0.582, 1.000, 0.583,
 10, 20.75, 46.19, 0.568, 1.000, 0.569,
 11, 20.83, 44.59, 0.576, 1.000, 0.576,
 12, 21.06, 44.31, 0.596, 1.000, 0.596,
 13, 20.77, 47.51, 0.570, 1.000, 0.570,
 14, 20.72, 48.41, 0.566, 1.000, 0.566,
 15, 20.86, 44.13, 0.578, 1.000, 0.578,
 16, 20.87, 44.14, 0.579, 1.000, 0.579,
 17, 20.81, 46.02, 0.574, 1.000, 0.574,
 18, 20.79, 47.18, 0.572, 1.000, 0.572,
 19, 20.87, 46.98, 0.579, 1.000, 0.579,
 20, 20.80, 48.37, 0.573, 1.000, 0.573,
