age	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999
1	146864	184587	142165	99832	63516	126614	112354	129545	104734	127870
2	311831	344841	263573	208032	140851	119251	373561	553773	676651	217090
3	266440	225170	179701	146463	137320	97151	91988	280776	260551	387740
4	139099	156894	106842	84252	81274	79230	50289	44257	109683	94726
5	164825	78489	77010	53040	39364	37162	32581	22812	17010	24390
6	26934	78496	34286	29217	20532	18073	14576	13626	6465	6887
7	8129	14910	29547	13472	15323	9772	10605	6362	4986	2783
8	4216	5233	6970	11272	6399	4366	4528	3632	2506	2246
9	3451	3141	3200	3645	5368	2336	2624	2179	1761	1521
10	3808	5591	6928	5883	5433	3753	4892	4181	3119	3093

