year,catchW,catchN,2.00,3.00,4.00,5.00,6.00,7.00,8.00,9.00,10~,SSBindex
1980,142509.00,352338.00,9634.00,39512.00,134509.00,116516.00,27797.00,12172.00,5428.00,4520.00,2250.00,
1981,118887.00,316086.00,18375.00,28008.00,69152.00,116106.00,48197.00,15241.00,7228.00,8902.00,4877.00,
1982,97177.00,242872.00,14832.00,28749.00,40941.00,70816.00,41895.00,23544.00,8400.00,7812.00,5883.00,
1983,92207.00,239462.00,11742.00,32543.00,55263.00,58569.00,45672.00,18839.00,7700.00,6734.00,2400.00,
1984,118205.00,302212.00,1540.00,61304.00,80911.00,70392.00,42939.00,25956.00,8444.00,6249.00,4477.00,
1985,117442.00,276354.00,2916.00,27218.00,66309.00,75912.00,48256.00,31244.00,11149.00,9611.00,3739.00,
1986,83665.00,198950.00,511.00,13671.00,37132.00,52579.00,45146.00,27424.00,12792.00,5794.00,3901.00,
1987,94350.00,324554.00,2746.00,134737.00,83611.00,34761.00,29014.00,19915.00,9178.00,6729.00,3863.00,
1988,132587.00,564449.00,68250.00,133642.00,271034.00,37405.00,21017.00,18793.00,7392.00,4753.00,2163.00,
1989,142245.00,578289.00,10623.00,148582.00,256779.00,125341.00,18835.00,10828.00,3851.00,2472.00,978.00,
1990,132251.00,417982.00,3297.00,32814.00,127577.00,152276.00,67479.00,16913.00,9867.00,4514.00,3245.00,
1991,145042.00,610103.00,4466.00,272577.00,113400.00,97680.00,80136.00,26057.00,9466.00,3722.00,2599.00,
1992,146028.00,614469.00,12996.00,90025.00,337004.00,80962.00,46018.00,32187.00,11320.00,2135.00,1822.00,
1993,90609.00,314437.00,367.00,30346.00,54014.00,117518.00,48206.00,34311.00,20029.00,6535.00,3111.00,
1994,70609.00,207228.00,9583.00,28119.00,35620.00,45576.00,50950.00,20060.00,9928.00,4316.00,3076.00,
1995,70556.00,214560.00,179.00,41788.00,82655.00,26127.00,20566.00,23786.00,9556.00,6538.00,3365.00,
1996,90144.00,333705.00,2640.00,29809.00,98951.00,123273.00,52541.00,13962.00,10009.00,1049.00,1471.00,
1997,75712.00,211307.00,3436.00,27998.00,20910.00,48222.00,48617.00,33191.00,15280.00,10445.00,3208.00,
1998,58447.00,141430.00,14741.00,15561.00,12920.00,24210.00,39212.00,15837.00,9506.00,4540.00,4903.00,243745.00
1999,51627.00,99009.00,276.00,3132.00,23565.00,22268.00,20374.00,16782.00,6320.00,3226.00,3066.00,254470.00
2000,41797.00,91716.00,20595.00,5760.00,9689.00,9083.00,10240.00,12131.00,11882.00,7051.00,5285.00,239238.00
2001,45616.00,129101.00,11887.00,46350.00,22589.00,13970.00,7774.00,6762.00,6200.00,6144.00,7425.00,137923.00
2002,59359.00,184106.00,3197.00,33982.00,65402.00,29489.00,18308.00,11231.00,8526.00,7056.00,6915.00,
2003,32896.00,78297.00,5668.00,9404.00,7048.00,14640.00,11681.00,9329.00,8292.00,5570.00,6665.00,163874.00
2004,33467.00,96403.00,6205.00,22429.00,25842.00,14370.00,11533.00,4833.00,4044.00,3452.00,3695.00,144515.00
2005,25991.00,75190.00,3640.00,10169.00,11228.00,15705.00,13723.00,7222.00,6581.00,2624.00,4298.00,131948.00
2006,20817.00,43470.00,1251.00,2209.00,3359.00,7543.00,8146.00,6993.00,5640.00,3353.00,4976.00,85818.00
2007,18172.00,46643.00,11992.00,6258.00,4482.00,4013.00,4831.00,6180.00,4547.00,2438.00,1902.00,76630.00
2008,18461.00,67684.00,35048.00,10633.00,5914.00,3284.00,3328.00,2697.00,3130.00,2049.00,1601.00,47036.00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BW,,,134.16,229.05,326.29,425.35,485.11,544.65,570.40,577.79,688.47,
Mar,,,0.00,0.33,0.64,0.87,0.96,0.99,1.00,1.00,1.00,
M,,,0.30,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,
