Species,Habitat,M,Sex,T,L,Linf,k,Reference
Ammodytes marinus,Demersal,2.1,C,7,7.9,18.5,0.36,Cook(2004)
Ammodytes marinus,Demersal,1.8,C,7,11.5,18.5,0.36,Cook(2004)
Ammodytes marinus,Demersal,0.6,C,7,13.3,18.5,0.36,Cook(2004)
Ammodytes marinus,Demersal,0.65,C,7,14.8,18.5,0.36,Cook(2004)
Ammodytes marinus,Demersal,1.6,C,7,15.9,18.5,0.36,Cook(2004)
Ammodytes marinus,Demersal,0.8,C,7,16.9,18.5,0.36,Cook(2004)
Ammodytes tobianus,Demersal,2.34,C,11,8,16,0.77,Reay(1973)
Ammodytes tobianus,Demersal,1.39,C,11,12,16,0.77,Reay(1973)
Ammodytes tobianus,Demersal,1.04,C,11,14,16,0.77,Reay(1973)
Ammodytes tobianus,Demersal,0.7,C,11,15,16,0.77,Reay(1973)
Anchoa mitchilli,Pelagic,2.36,C,17,5.8,13.8,0.21,Newberger & Houde(1995)
Balistes vetula,Demersal,2.6,C,27,28.5,45,0.57,Aiken(1983)
Benthosema glaciale,Pelagic,0.74,C,7,4.9,8.6,0.36,Gjøsæter(1973)
Benthosema glaciale,Pelagic,1.1,C,7,3.9,8.6,0.36,Gjøsæter(1973)
Benthosema glaciale,Pelagic,0.37,C,7,5.3,8.6,0.36,Gjøsæter(1973)
Benthosema glaciale,Pelagic,0.86,C,7,6.3,8.6,0.36,Gjøsæter(1973)
Benthosema glaciale,Pelagic,2.55,C,7,7,8.6,0.36,Gjøsæter(1973)
Beryx splendes,Demersal,0.57,C,18,22,45,0.15,Adachi et al.(2006)
Brevoortia patronus,Pelagic,1.09,C,26,14.4,25.3,0.48,Ahrenholz(1981)
Brevoortia tyrrannus,Pelagic,0.37,C,10,30.7,40,0.39,Schaaf & Huntsman(1972)
Cephalopholis fulva,Demersal,0.55,C,27,29.8,34,0.63,Thompson & Munro(1977)
Cetengraulis mysticetus,Pelagic,2.4,C,24,11.8,15,1.88,Bayliff(1967)
Cheilodactylus macropterus,Demersal,0.08,C,14,41,47.7,0.28,Vooren(1977)
Cheilodactylus macropterus,Demersal,0.1,F,14,35.8,44.6,0.22,Annala et al.(1989)
Cheilodactylus macropterus,Demersal,0.1,M,14,35.8,44.7,0.17,Annala et al.(1989)
Clupea harengus,Pelagic,0.17,C,8,30.4,36,0.21,Beverton & Holt(1959)
Clupea harengus,Pelagic,0.2,C,12,26.8,29.5,0.39,Beverton(1963)
Clupea harengus,Pelagic,0.17,C,11,24.2,30,0.38,Cushing(1959)
