Year,GR_LL,IT_LL,IT_GN,SP_LL,MO_GN
1987,142.37,,,,
1988,182.89,,,137.6645,
1989,,,,98.3712,
1990,152.99,,8.31,110.812,
1991,205.78,94.81,9.80,90.1317,
1992,77.39,92.80,16.87,74.0174,
1993,141.47,,13.04,100.4796,
1994,200.65,100.23,9.49,112.3175,
1995,117.24,127.30,14.65,104.3249,
1996,,,9.33,86.4917,
1997,,97.37,14.04,89.0996,
1998,245.18,127.95,10.12,92.3293,
1999,193.20,161.64,12.71,81.9961,40.09
2000,154.22,90.04,14.92,81.6754,56.05
2001,161.25,141.65,13.06,78.3418,37.79
2002,127.74,203.21,,112.0981,48.06
2003,164.71,155.55,,79.1383,37.82
2004,155.66,103.38,15.15,71.0712,43.48
2005,157.53,114.58,12.07,93.7661,55.13
2006,164.23,138.63,30.74,114.374,51.61
2007,171.59,118.03,,132.3547,47.58
2008,160.35,123.49,3.29,169.943,54.28
