"","age","year","unit","season","area","iter","F0.1","half","double"
"1","all",2008,"unique","all","unique","1",6831.8591587726,3596.05653299567,12386.6941358111
"2","all",2009,"unique","all","unique","1",8885.22662585288,5101.71031260053,13697.4883870214
"3","all",2010,"unique","all","unique","1",9836.66103086176,6005.771995592,13636.5828052771
"4","all",2011,"unique","all","unique","1",10193.0408876359,6399.24619134421,13413.3027185517
"5","all",2012,"unique","all","unique","1",10484.8526134293,6728.10650679971,13183.7314735281
"6","all",2013,"unique","all","unique","1",10870.7210464137,7161.19830904023,12994.2413162318
"7","all",2014,"unique","all","unique","1",11299.0772788937,7640.25494030565,12877.6629208084
"8","all",2015,"unique","all","unique","1",11735.3585865302,8139.12874706282,12821.4136866527
"9","all",2016,"unique","all","unique","1",12097.6552642696,8573.4841520749,12786.9515733883
"10","all",2017,"unique","all","unique","1",12374.6221727495,8921.02475312367,12763.2108822128
"11","all",2018,"unique","all","unique","1",12590.0911132484,9204.27733724713,12744.7833439353
"12","all",2019,"unique","all","unique","1",12758.7533381705,9436.32972405253,12728.8551385372
"13","all",2020,"unique","all","unique","1",12890.1157716771,9624.55701451579,12714.9480142024
"14","all",2021,"unique","all","unique","1",12992.461752378,9776.26605688651,12703.2832724613
"15","all",2022,"unique","all","unique","1",13072.4645588442,9898.2316474564,12693.8958872873
"16","all",2023,"unique","all","unique","1",13135.0265205956,9996.02854331065,12686.5606288902
"17","all",2024,"unique","all","unique","1",13183.8398623055,10074.2087227575,12680.9175949591
"18","all",2025,"unique","all","unique","1",13221.8014654939,10136.5264570332,12676.5822561479
"19","all",2026,"unique","all","unique","1",13251.2281901166,10186.0727735175,12673.2292135705
"20","all",2027,"unique","all","unique","1",13273.9870036834,10225.3899848110,12670.6154340482
"21","all",2028,"unique","all","unique","1",13291.5650410155,10256.5496867226,12668.5652272496
