NORTH SEA HERRING. TUNING DATA  (INCLUDES 1995 Acoustic Survey)
104
IYFS Survey Data at ages 2 - 5+
1983        1995                                                                                    
 1           1      0.12    0.14
 2           5                                                                                    
1       .109e3    .418e2   .141e2   .337e2
1       .161e3    .747e2   .318e2   .690e1 
1       .716e3    .256e3   .262e2   .364e2 
1       .661e3    .235e3   .565e2   .172e2
1       .838e3    .117e3   .555e2   .436e2 
1       .410e4    .783e3   .554e2   .260e2
1       .775e3    .411e3   .864e2   .100e2
1       .580e3    .322e3   .271e3   .703e2
1       .794e3    .283e3   .250e3   .170e3 
1       .377e3    .181e3   .630e2   .102e3
1       .762e3    .236e3   .445e2   .637e2
1       .109e4    .199e3   .636e2   .400e2
1       .128e4    .153e3   .462e2   .930e1 
IYFS Survey Data at age 1
1979      1995
1          1       0.12    0.14
1          1
1   .172e3   
1   .312e3   
1   .431e3   
1   .772e3
1   .126e4
1   .144e4
1   .208e4
1   .254e4
1    .368e4
1    .453e4
1    .231e4
1    .102e4
1    .116e4
1    .116e4
1    .294e4
1    .1667e4
1    .1188e4
Acoustic Survey Data
1989       1994
 1           1      0.54    0.56
 2           9
 1   .373e7   .375e7  .161e7  .488e6  .281e6  .120e6  .440e5  .220e5
 1   .297e7   .353e7  .337e7  .135e7  .395e6  .211e6  .134e6  .430e5
 1   .283e7   .150e7  .210e7  .198e7  .748e6  .262e6  .112e6  .560e5 
 1   .418e7   .163e7  .140e7  .151e7  .131e7  .474e6  .155e6  .163e6 
 1   .371e7   .189e7  .909e6  .795e6  .788e6  .546e6  .178e6  .116e6
 1   .328e7   .957e6  .429e6  .363e6  .321e6  .328e6  .220e6  .132e6
MIK Recruitment Index
1978        1995
1             1      0.24    0.26
0             0
1     13.1   
1     52.1   
1    101.1   
1     76.7   
1    133.9   
1     91.8   
1    115.0   
1    181.3   
1    177.4   
1    270.9   
1    168.9   
1     71.4   
1     25.9   
1     69.9   
1    200.7   
1    190.1   
1    101.7
1    .127e3
