year;ln;se;nominal
1977;92.7588583;4.12342591;89.1189102
1978;;;
1979;;;
1980;;;
1981;;;
1982;;;
1983;;;
1984;63.3018985;5.80440794;65.4228671
1985;;;
1986;;;
1987;73.7352801;4.56304527;79.0389881
1988;75.0154124;4.56304527;80.3191204
1989;;;
1990;;;
1991;;;
1992;79.3334339;4.110325;84.0441176
1993;75.5521362;1.91769586;76.3266149
1994;79.8916382;3.74992096;84.0343884
1995;77.3677068;4.56304527;82.6714147
1996;79.2812861;3.71811811;84.3477844
1997;;;
1998;;;
1999;;;
2000;74.5913568;3.04031943;76.2836141
2001;80.0930492;3.1516742;77.1423684
2002;;;
2003;76.6522137;2.65531796;74.3760511
2004;77.1335888;3.40946744;75.6847107
2005;80.3486481;2.94501841;78.5651285
2006;77.6697074;2.41276299;76.3499267
2007;76.1734278;3.58684927;74.9425111
2008;71.271436;1.95777693;73.3509027
2009;63.6700642;2.14686929;65.5236124
2010;78.5050139;2.93021346;77.6904367
